code,trades,winrate,pnl,return_pct,profit_factor,max_dd,final,bh_return,excess,rank
688082,40,45.0,28173.0,28.2,2.51,-4487.0,128173.0,180.10019267822736,-151.90019267822737,109
600028,48,43.8,28084.0,28.1,3.22,-3061.0,128084.0,17.500000000000004,10.599999999999998,110
601117,47,42.6,28062.0,28.1,2.63,-5846.0,128062.0,-17.396061269146614,45.496061269146615,111
000301,49,40.8,27976.0,28.0,2.47,-6396.0,127976.0,-52.22687476208603,80.22687476208603,112
601328,36,55.6,28004.0,28.0,4.22,-2215.0,128004.0,50.69444444444442,-22.69444444444442,113
600011,41,46.3,27832.0,27.8,2.89,-3135.0,127832.0,79.29292929292929,-51.49292929292929,114
603369,46,39.1,27584.0,27.6,2.23,-5160.0,127584.0,-41.71893147502903,69.31893147502903,115
603606,49,38.8,27004.0,27.0,2.42,-8382.0,127004.0,77.55681818181819,-50.55681818181819,116
601108,42,42.9,26858.0,26.9,2.5,-6305.0,126858.0,-8.982035928143716,35.882035928143715,117
601669,53,34.0,26802.0,26.8,2.32,-4708.0,126802.0,-10.820895522388064,37.62089552238807,118
002001,39,48.7,26556.0,26.6,2.22,-5351.0,126556.0,10.660272962006644,15.939727037993357,119
000333,40,52.5,26551.0,26.6,3.12,-3417.0,126551.0,17.978208232445514,8.621791767554488,120
600588,56,30.4,26164.0,26.2,1.88,-7126.0,126164.0,-76.35855764347384,102.55855764347385,121
601229,43,46.5,26194.0,26.2,3.25,-3578.0,126194.0,23.545706371191134,2.6542936288088654,122
300408,41,43.9,26143.0,26.1,2.57,-5361.0,126143.0,210.65608919382498,-184.556089193825,123
600010,57,33.3,26007.0,26.0,2.13,-3912.0,126007.0,-16.356877323420072,42.35687732342007,124
601377,44,40.9,25770.0,25.8,2.5,-5701.0,125770.0,-35.392670157068075,61.19267015706808,125
601088,40,42.5,25761.0,25.8,2.52,-3653.0,125761.0,136.0788863109049,-110.2788863109049,126
603296,26,50.0,25736.0,25.7,2.77,-6185.0,125736.0,-6.017191977077374,31.717191977077373,127
300919,51,35.3,25459.0,25.5,1.79,-17608.0,125459.0,-73.44768656244067,98.94768656244067,128
600377,41,43.9,25322.0,25.3,2.29,-5490.0,125322.0,39.48896631823462,-14.188966318234616,129
601939,34,47.1,25251.0,25.3,3.91,-2412.0,125251.0,63.90328151986184,-38.60328151986184,130
601390,52,25.0,25260.0,25.3,1.93,-12167.0,125260.0,-19.397363465160065,44.697363465160066,131
600000,43,44.2,25150.0,25.1,3.6,-1893.0,125150.0,-4.8192771084337505,29.919277108433754,132
601166,45,37.8,24998.0,25.0,2.7,-3871.0,124998.0,-4.972067039106132,29.972067039106133,133
688484,31,45.2,24771.0,24.8,2.83,-3344.0,124771.0,-19.022746419545065,43.82274641954507,134
600958,43,34.9,24752.0,24.8,2.47,-4102.0,124752.0,-20.399666944213145,45.19966694421315,135
601236,47,46.8,24763.0,24.8,2.5,-5509.0,124763.0,-44.16932907348242,68.96932907348243,136
601995,45,40.0,24805.0,24.8,2.35,-5103.0,124805.0,-33.54037267080745,58.340372670807454,137
601878,44,36.4,24553.0,24.6,2.55,-4460.0,124553.0,-14.995640802092424,39.595640802092426,138
002736,48,39.6,24431.0,24.4,2.27,-4678.0,124431.0,-4.520295202952029,28.920295202952026,139
002601,38,28.9,24159.0,24.2,2.03,-5597.0,124159.0,-46.25281440977807,70.45281440977807,140
601988,39,51.3,24188.0,24.2,3.7,-1993.0,124188.0,84.71760797342193,-60.51760797342193,141
000166,39,48.7,24125.0,24.1,3.41,-2050.0,124125.0,4.109589041095885,19.990410958904118,142
600926,40,42.5,23464.0,23.5,2.52,-4030.0,123464.0,20.870265914585005,2.629734085414995,143
002180,48,35.4,23532.0,23.5,2.11,-6717.0,123532.0,-54.616024397005816,78.11602439700582,144
601808,54,35.2,23004.0,23.0,1.85,-5147.0,123004.0,-9.090909090909093,32.09090909090909,145
601985,47,51.1,23044.0,23.0,2.69,-2556.0,123044.0,80.44806517311606,-57.44806517311606,146
603260,50,42.0,22779.0,22.8,1.98,-6338.0,122779.0,-51.619067841596774,74.41906784159677,147
688396,54,33.3,22628.0,22.6,2.04,-8168.0,122628.0,-13.097713097713104,35.697713097713105,148
601398,39,46.2,22597.0,22.6,3.37,-2288.0,122597.0,53.04347826086957,-30.44347826086957,149
000768,50,36.0,22371.0,22.4,2.06,-4210.0,122371.0,-34.34469815451987,56.74469815451987,150
601077,42,50.0,22321.0,22.3,2.85,-2658.0,122321.0,65.70680628272252,-43.40680628272253,151
600918,48,39.6,22131.0,22.1,2.33,-5733.0,122131.0,-42.40506329113924,64.50506329113924,152
002142,43,44.2,22071.0,22.1,2.3,-5365.0,122071.0,-9.12091209120912,31.220912091209122,153
300979,53,37.7,21856.0,21.9,1.87,-6625.0,121856.0,-66.83905013192613,88.73905013192612,154
300142,53,30.2,21548.0,21.5,1.93,-10667.0,121548.0,-84.80138169257341,106.30138169257341,155
600031,44,50.0,21347.0,21.3,2.44,-2690.0,121347.0,-32.01465201465202,53.314652014652026,156
600893,44,36.4,21260.0,21.3,1.92,-5104.0,121260.0,-33.31636980491942,54.616369804919415,157
002648,46,37.0,21084.0,21.1,1.66,-12360.0,121084.0,-38.92702771421307,60.02702771421307,158
002415,46,52.2,20583.0,20.6,2.32,-5094.0,120583.0,-44.47166421688714,65.07166421688714,159
688169,50,40.0,20633.0,20.6,1.93,-5990.0,120633.0,-90.75208913649026,111.35208913649026,160
601211,37,45.9,20483.0,20.5,2.47,-4573.0,120483.0,16.757082579867387,3.7429174201326134,161
601766,45,33.3,20285.0,20.3,2.06,-5635.0,120285.0,-11.551155115511536,31.85115511551154,162
000157,47,38.3,20222.0,20.2,1.87,-5013.0,120222.0,-14.336917562724006,34.53691756272401,163
000651,46,47.8,20054.0,20.1,2.15,-5833.0,120054.0,-20.55958549222798,40.65958549222798,164
600886,45,40.0,19959.0,20.0,2.23,-3247.0,119959.0,55.50405561993046,-35.50405561993046,165
601919,48,33.3,19937.0,19.9,1.86,-7912.0,119937.0,-27.445795875198307,47.345795875198306,166
600104,52,46.2,19860.0,19.9,2.16,-3897.0,119860.0,-46.53622421998943,66.43622421998943,167
601009,41,48.8,19884.0,19.9,2.38,-5288.0,119884.0,17.853107344632768,2.0468926553672304,168
600703,50,44.0,19878.0,19.9,1.87,-5169.0,119878.0,-55.53658536585366,75.43658536585366,169
600085,50,38.0,19706.0,19.7,1.79,-9642.0,119706.0,-33.5986355884025,53.298635588402504,170
600346,46,45.7,19722.0,19.7,2.18,-4603.0,119722.0,-44.0251572327044,63.725157232704404,171
600025,46,39.1,19710.0,19.7,2.28,-4003.0,119710.0,73.39622641509433,-53.69622641509433,172
002812,54,35.2,19641.0,19.6,1.9,-10775.0,119641.0,-74.40079365079364,94.00079365079364,173
000625,60,35.0,19265.0,19.3,1.73,-9373.0,119265.0,-61.87467087941021,81.17467087941021,174
000001,42,40.5,19061.0,19.1,3.09,-2344.0,119061.0,16.723484465792417,2.3765155342075843,175
000002,42,40.5,18654.0,18.7,3.05,-2414.0,118654.0,16.78390049904708,1.916099500952921,176
600383,58,31.0,18494.0,18.5,1.76,-6335.0,118494.0,-74.56445993031359,93.06445993031359,177
600050,52,40.4,18530.0,18.5,2.08,-4547.0,118530.0,-2.3980815347721784,20.898081534772178,178
000786,48,39.6,18086.0,18.1,1.94,-5057.0,118086.0,-45.97014925373134,64.07014925373134,179
002493,50,34.0,17819.0,17.8,1.76,-7247.0,117819.0,-42.491383554899066,60.29138355489907,180
000661,61,37.7,17639.0,17.6,1.6,-10320.0,117639.0,-77.49861324110027,95.09861324110028,181
688065,52,38.5,17505.0,17.5,1.71,-7427.0,117505.0,-51.73968440654709,69.2396844065471,182
688009,50,32.0,17519.0,17.5,1.82,-6032.0,117519.0,-5.019305019305021,22.519305019305023,183
601225,44,40.9,17539.0,17.5,1.78,-7600.0,117539.0,99.07578558225507,-81.57578558225507,184
000725,50,38.0,17258.0,17.3,1.93,-4070.0,117258.0,42.03389830508475,-24.733898305084747,185
600061,50,34.0,17175.0,17.2,1.8,-7754.0,117175.0,-13.892529488859761,31.09252948885976,186
600016,49,30.6,17126.0,17.1,2.35,-3013.0,117126.0,-18.204488778054863,35.30448877805486,187
002460,55,29.1,17097.0,17.1,1.69,-14346.0,117097.0,-66.57820710153388,83.67820710153387,188
000963,46,47.8,16622.0,16.6,1.76,-5996.0,116622.0,-18.142195587033505,34.74219558703351,189
600233,47,34.0,16580.0,16.6,1.78,-7399.0,116580.0,82.39660657476139,-65.7966065747614,190
300763,56,41.1,16640.0,16.6,1.69,-10776.0,116640.0,-73.75469035078662,90.35469035078663,191
300661,49,42.9,16491.0,16.5,1.65,-9483.0,116491.0,-59.65317919075145,76.15317919075144,192
600941,40,45.0,16549.0,16.5,2.14,-3763.0,116549.0,51.14029025570146,-34.64029025570146,193
600009,51,41.2,16222.0,16.2,1.86,-5767.0,116222.0,-39.63655517513827,55.83655517513827,194
601066,48,33.3,16158.0,16.2,1.72,-6916.0,116158.0,4.002937936099893,12.197062063900105,195
600600,50,42.0,16137.0,16.1,1.9,-5944.0,116137.0,-36.2093690248566,52.3093690248566,196
002049,51,41.2,16125.0,16.1,1.64,-7287.0,116125.0,-57.412230440670896,73.51223044067089,197
600900,39,46.2,16126.0,16.1,2.72,-1702.0,116126.0,43.12169312169314,-27.02169312169314,198
601877,50,42.0,15964.0,16.0,1.76,-10074.0,115964.0,-44.671500769061744,60.671500769061744,199
300498,49,36.7,15933.0,15.9,1.57,-9073.0,115933.0,-1.7306245297215805,17.63062452972158,200
000983,61,44.3,15572.0,15.6,1.7,-5853.0,115572.0,-25.120192307692303,40.7201923076923,201
002371,46,54.3,15601.0,15.6,1.63,-8845.0,115601.0,102.68256333830101,-87.08256333830101,202
300122,66,36.4,15475.0,15.5,1.41,-8857.0,115475.0,-92.12450656830389,107.62450656830389,203
601658,47,40.4,15408.0,15.4,1.92,-4687.0,115408.0,2.066115702479343,13.333884297520658,204
601186,55,25.5,15261.0,15.3,1.67,-8670.0,115261.0,-18.181818181818187,33.481818181818184,205
000100,43,37.2,15071.0,15.1,1.79,-4436.0,115071.0,-26.432291666666664,41.532291666666666,206
601818,53,39.6,15139.0,15.1,2.26,-3926.0,115139.0,-10.510510510510517,25.610510510510515,207
601058,46,39.1,15079.0,15.1,1.59,-6240.0,115079.0,29.947089947089943,-14.847089947089943,208
603501,53,41.5,14523.0,14.5,1.53,-11671.0,114523.0,-65.72634682390782,80.22634682390782,209
601633,54,38.9,14399.0,14.4,1.56,-6218.0,114399.0,-75.87505886046146,90.27505886046147,210
601668,50,38.0,14315.0,14.3,1.7,-6211.0,114315.0,-1.103752759381893,15.403752759381893,211
600482,49,36.7,14120.0,14.1,1.47,-10307.0,114120.0,99.70273483947682,-85.60273483947682,212
601618,49,34.7,14147.0,14.1,1.75,-4434.0,114147.0,-32.266666666666666,46.36666666666667,213
601916,45,31.1,14019.0,14.0,2.22,-5119.0,114019.0,-25.274725274725274,39.27472527472527,214
002410,61,34.4,14000.0,14.0,1.48,-7316.0,114000.0,-87.14329548941393,101.14329548941393,215
601169,44,40.9,13795.0,13.8,2.13,-4279.0,113795.0,15.89861751152075,-2.09861751152075,216
600438,53,35.8,13729.0,13.7,1.62,-7400.0,113729.0,-74.26951591801134,87.96951591801134,217
603392,63,30.2,13597.0,13.6,1.48,-11578.0,113597.0,-89.91934063611708,103.51934063611708,218
601607,46,37.0,13530.0,13.5,1.7,-7745.0,113530.0,-15.469323544834811,28.96932354483481,219
600426,49,30.6,13163.0,13.2,1.58,-6107.0,113163.0,-23.68098159509203,36.88098159509203,220
688187,48,37.5,13167.0,13.2,1.6,-10027.0,113167.0,-0.017391304347824654,13.217391304347824,221
600276,46,28.3,12584.0,12.6,1.46,-8983.0,112584.0,-1.4479638009049722,14.047963800904972,222
600585,53,32.1,12629.0,12.6,1.54,-5569.0,112629.0,-55.89294904786413,68.49294904786413,223
600188,52,44.2,12462.0,12.5,1.34,-13117.0,112462.0,5.076741440377797,7.423258559622203,224
688036,60,36.7,12425.0,12.4,1.37,-8765.0,112425.0,-63.01479162830663,75.41479162830663,225
000596,48,33.3,12306.0,12.3,1.5,-6604.0,112306.0,-58.4748427672956,70.7748427672956,226
688223,45,35.6,12056.0,12.1,1.66,-7958.0,112056.0,-56.39810426540285,68.49810426540284,227
000568,58,39.7,12061.0,12.1,1.54,-7078.0,112061.0,-57.32212947094919,69.42212947094919,228
688506,28,32.1,12145.0,12.1,1.64,-6225.0,112145.0,960.8424336973479,-948.7424336973479,229
600803,49,40.8,11870.0,11.9,1.49,-8034.0,111870.0,-7.146876758581877,19.046876758581877,230
688599,53,37.7,11745.0,11.7,1.48,-12221.0,111745.0,-69.10062333036508,80.80062333036508,231
002714,45,31.1,11285.0,11.3,1.49,-6361.0,111285.0,-17.63392857142857,28.93392857142857,232
300896,63,38.1,10767.0,10.8,1.38,-8858.0,110767.0,-85.73408064767243,96.53408064767243,233
688819,59,28.8,10628.0,10.6,1.35,-13331.0,110628.0,-61.224489795918366,71.82448979591837,234
600115,51,33.3,10455.0,10.5,1.46,-8935.0,110455.0,-14.027149321266974,24.527149321266975,235
603833,54,33.3,10276.0,10.3,1.42,-9236.0,110276.0,-76.73313656324238,87.03313656324238,236
600029,48,35.4,9977.0,10.0,1.46,-7518.0,109977.0,-1.5122873345935761,11.512287334593577,237
002007,52,32.7,9284.0,9.3,1.49,-4932.0,109284.0,-65.5614973262032,74.86149732620319,238
600015,48,35.4,8896.0,8.9,1.52,-4494.0,108896.0,19.999999999999996,-11.099999999999996,239
603160,52,44.2,8557.0,8.6,1.36,-5097.0,108557.0,-51.37561779242175,59.97561779242175,240
002129,46,28.3,8571.0,8.6,1.32,-15180.0,108571.0,-78.77609496520671,87.3760949652067,241
600741,50,38.0,8407.0,8.4,1.47,-7966.0,108407.0,-22.855773838045035,31.255773838045037,242
603290,52,36.5,8344.0,8.3,1.28,-16261.0,108344.0,-68.9889957085661,77.28899570856609,243
002271,53,35.8,7969.0,8.0,1.28,-8663.0,107969.0,-76.85359427926232,84.85359427926232,244
688303,57,28.1,8046.0,8.0,1.28,-8305.0,108046.0,-74.62664498003844,82.62664498003844,245
002027,51,35.3,7799.0,7.8,1.31,-6096.0,107799.0,-36.936936936936924,44.73693693693692,246
000895,50,38.0,7479.0,7.5,1.5,-3187.0,107479.0,-11.775842483907606,19.275842483907606,247
600690,44,34.1,7055.0,7.1,1.28,-8175.0,107055.0,-20.54054054054054,27.64054054054054,248
000800,52,40.4,7008.0,7.0,1.29,-5327.0,107008.0,-45.075421472936995,52.075421472936995,249
601111,49,40.8,6935.0,6.9,1.29,-7127.0,106935.0,-6.298003072196623,13.198003072196624,250
600018,42,40.5,6702.0,6.7,1.52,-4930.0,106702.0,-4.142011834319526,10.842011834319525,251
601966,53,37.7,6302.0,6.3,1.25,-7536.0,106302.0,-72.87878787878788,79.17878787878787,252
605499,52,28.8,5865.0,5.9,1.19,-9827.0,105865.0,-37.26415094339623,43.16415094339623,253
002304,61,36.1,5610.0,5.6,1.25,-6487.0,105610.0,-77.5507835171213,83.1507835171213,254
600763,53,34.0,5530.0,5.5,1.2,-7562.0,105530.0,-89.04378799975434,94.54378799975434,255
600019,50,34.0,5377.0,5.4,1.2,-7168.0,105377.0,-23.424657534246574,28.824657534246576,256
600048,54,27.8,5421.0,5.4,1.21,-8490.0,105421.0,-54.072620215897935,59.47262021589793,257
603288,60,38.3,5271.0,5.3,1.2,-7244.0,105271.0,-71.12658120383735,76.42658120383734,258
000792,53,34.0,5251.0,5.3,1.2,-13158.0,105251.0,-18.077994428969358,23.37799442896936,259
300015,59,25.4,5204.0,5.2,1.2,-12043.0,105204.0,-85.19480519480518,90.39480519480519,260
000876,50,42.0,5012.0,5.0,1.27,-4055.0,105012.0,-42.639593908629436,47.639593908629436,261
300628,52,38.5,5047.0,5.0,1.16,-10362.0,105047.0,-64.8936170212766,69.8936170212766,262
601816,51,35.3,4812.0,4.8,1.27,-6392.0,104812.0,-2.114164904862592,6.9141649048625915,263
600196,56,35.7,4712.0,4.7,1.21,-4535.0,104712.0,-71.73200631144556,76.43200631144556,264
603899,58,32.8,4737.0,4.7,1.19,-9447.0,104737.0,-71.32000000000001,76.02000000000001,265
600406,44,40.9,4333.0,4.3,1.23,-9401.0,104333.0,-28.580343213728543,32.880343213728544,266
