code,trades,winrate,pnl,return_pct,profit_factor,max_dd,final,bh_return,excess,rank,score
600030,45,42.2,28912.0,28.9,2.83,-3302.0,128912.0,24.409110442629988,4.490889557370011,104,24.531355822948008
688009,50,32.0,17519.0,17.5,1.82,-6032.0,117519.0,-5.019305019305021,22.519305019305023,183,23.897722007722006
1,42,40.5,19061.0,19.1,3.09,-2344.0,119061.0,16.723484465792417,2.3765155342075843,175,22.725606213683033
2,42,40.5,18654.0,18.7,3.05,-2414.0,118654.0,16.78390049904708,1.916099500952921,176,22.28143980038117
600926,40,42.5,23464.0,23.5,2.52,-4030.0,123464.0,20.870265914585005,2.629734085414995,143,21.341893634165995
601211,37,45.9,20483.0,20.5,2.47,-4573.0,120483.0,16.757082579867387,3.742917420132613,161,21.302166968053047
601658,47,40.4,15408.0,15.4,1.92,-4687.0,115408.0,2.066115702479343,13.333884297520658,204,21.093553719008263
300498,49,36.7,15933.0,15.9,1.57,-9073.0,115933.0,-1.7306245297215803,17.63062452972158,200,20.967249811888635
600989,46,34.8,28466.0,28.5,2.32,-4834.0,128466.0,25.62691131498469,2.8730886850153112,107,20.769235474006123
601668,50,38.0,14315.0,14.3,1.7,-6211.0,114315.0,-1.103752759381893,15.403752759381891,211,20.471501103752757
601009,41,48.8,19884.0,19.9,2.38,-5288.0,119884.0,17.853107344632768,2.0468926553672304,168,20.38875706214689
601066,48,33.3,16158.0,16.2,1.72,-6916.0,116158.0,4.002937936099893,12.197062063900104,195,19.18882482556004
688187,48,37.5,13167.0,13.2,1.6,-10027.0,113167.0,-0.0173913043478246,13.217391304347824,221,18.87695652173913
600018,42,40.5,6702.0,6.7,1.52,-4930.0,106702.0,-4.142011834319526,10.842011834319525,251,16.56680473372781
